Eva Lake,2019,7,26,Ontario,ef1,145,C-T/DOD-5 (LB),-91.2069,48.734699999999997
Laumans Landing,2019,6,29,Saskatchewan,ef1,170,C-T/DOD-5 (EXP-),-109.2774,54.448399999999999
Radium Hot Springs,2020,6,13,British Columbia,ef1,145,C-T/DOD-5 (LB),-115.8881,50.697800000000001
Weagamow Lake,2020,7,3,Ontario,ef1,145,C-T/DOD-5 (LB),-91.3441,52.949700000000000
Hawkesbury,2020,7,10,Ontario,ef1,150,C-T/DOD-4 (EXP),-74.5806,45.581800000000001
Treherne,2020,6,17,Manitoba,ef1,145,C-T/DOD-5 (LB),-98.6571,49.663300000000000
Kasabonika,2020,6,17,Ontario,ef1,145,C-T/DOD-5 (LB),-88.32,53.287999999999997
Keswick Ridge,2020,6,5,New Brunswick,ef1,150,C-T/DOD-4 (EXP),-66.8703,46.003300000000003
Joutel,2020,7,25,Quebec,ef1,135,C-T/DOD-4 (LB+),-78.1333,49.569200000000002
Lac Matissard,2020,7,25,Quebec,ef1,135,C-T/DOD-4 (LB+),-78.705,48.455300000000001
Lac Duchat,2020,7,25,Quebec,ef1,135,C-T/DOD-4 (LB+),-78.8842,48.539400000000001
Torch River,2020,7,2,Saskatchewan,ef1,145,C-T/DOD-5 (LB),-104.14,53.584000000000003
Canisbay Lake,2020,6,10,Ontario,ef1,135,C-T/DOD-4 (LB+),-78.59,45.574199999999998
Lac Turgeon (downburst),2020,7,19,Quebec,ef1,135,C-T/DOD-4 (LB+),-78.8539,49.012500000000003
Dwight,2020,6,10,Ontario,ef1,145,C-T/DOD-5 (LB),-79.0225,45.346899999999998
Dog Lake,2021,6,4,Ontario,ef1,145,C-T/DOD-5 (LB),-89.454,48.735900000000001
Nagagamisis Lake,2021,6,3,Ontario,ef1,145,C-T/DOD-5 (LB),-84.6904,49.463600000000000
Saint-Alexandre,2021,6,21,Quebec,ef1,150,C-T/DOD-4 (EXP),-73.1252,45.242300000000000
Hopkins Bay (Rainy River),2021,7,23,Ontario,ef1,145,C-T/DOD-5 (LB),-93.2056,48.730100000000000
Lac Leslie (Pontiac),2021,7,13,Quebec,ef1,145,C-T/DOD-5 (LB),-76.5645,45.855899999999998
Harmony - Milford Haven,2021,8,11,Ontario,ef1,170,C-T/DOD-5 (EXP-),-84.0354,46.205800000000004
Willard Lake (Kenora),2021,6,9,Ontario,ef1,145,C-T/DOD-5 (LB),-93.9342,49.850800000000000
Basswood Lake (Huron Shores),2021,8,11,Ontario,ef1,170,C-T/DOD-5 (EXP-),-83.2684,46.351100000000002
Dunns Valley (downburst),2021,8,11,Ontario,ef1,170,C-T/DOD-5 (EXP-),-83.5552,46.458500000000001
Matinenda Lake,2021,8,11,Ontario,ef1,145,C-T/DOD-5 (LB),-82.9056,46.344999999999999
Southampton,2021,9,7,Ontario,ef1,150,C-T/DOD-4 (EXP),-81.3331,44.538800000000002
Metig Lake (Wabakimi),2021,6,6,Ontario,ef1,145,C-T/DOD-5 (LB),-89.973,50.911600000000000
Pineneedle Lake,2021,7,23,Ontario,ef1,145,C-T/DOD-5 (LB),-94.3857,50.635700000000000
Saint-Samuel,2021,6,21,Quebec,ef1,145,C-T/DOD-5 (LB),-72.1643,46.069699999999997
Canning Lake (Whitestone),2021,7,20,Ontario,ef1,145,C-T/DOD-5 (LB),-79.9757,45.610300000000002
Anima Nipissing Lake,2021,8,29,Ontario,ef1,145,C-T/DOD-5 (LB),-79.897,47.258299999999998
Moberly Lake,2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-121.5827,55.826300000000003
Lower Cache Road (Montney),2021,6,30,British Columbia,ef1,170,C-T/DOD-5 (EXP-),-121.2979,56.579400000000000
Altona,2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-120.8912,56.868400000000001
Sucker Lake,2021,7,10,Alberta,ef1,145,C-T/DOD-5 (LB),-111.8078,55.186599999999999
Sand Lake (North Frontenac),2021,7,1,Ontario,ef1,145,C-T/DOD-5 (LB),-77.0458,44.929200000000002
Mazinaw Lake,2021,7,1,Ontario,ef1,145,C-T/DOD-5 (LB),-77.1828,44.945599999999999
Gawas Bay,2021,8,11,Ontario,ef1,145,C-T/DOD-5 (LB),-83.9235,46.290199999999999
Whiskey Bay (Jocelyn),2021,8,11,Ontario,ef1,145,C-T/DOD-5 (LB),-83.9059,46.085500000000003
Toobee Lake,2021,8,11,Ontario,ef1,145,C-T/DOD-5 (LB),-82.8189,46.745699999999999
Kynoch (downburst),2021,8,11,Ontario,ef1,145,C-T/DOD-5 (LB),-83.2038,46.465699999999998
Blinko Lake (downburst),2021,8,11,Ontario,ef1,170,C-T/DOD-5 (EXP-),-83.2371,46.508099999999999
Urquhart Lake (Algoma) (downburst),2021,8,11,Ontario,ef1,145,C-T/DOD-5 (LB),-83.4833,46.523699999999998
Boundary Lake (Clear Hills County),2021,8,5,Alberta,ef1,145,C-T/DOD-5 (LB),-119.8553,56.482799999999997
Monais Lake,2021,6,30,British Columbia,ef1,170,C-T/DOD-5 (EXP-),-121.2377,56.085900000000002
Fontas (2),2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-121.4349,58.390200000000000
Fontas (1),2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-121.8274,58.158700000000003
Sikanni Chief,2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-122.1579,57.567200000000000
Tommy Lakes (1),2021,6,30,British Columbia,ef1,170,C-T/DOD-5 (EXP-),-121.9885,57.669199999999996
Tommy Lakes (2),2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-121.8693,57.722099999999998
Tommy Lakes (3),2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-121.5936,57.814399999999999
Kahntah (1),2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-121.3011,57.995800000000003
Kahntah (2),2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-120.9388,58.090299999999999
Kahntah (3),2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-120.8971,58.222799999999999
Kahntah (4),2021,6,30,British Columbia,ef1,170,C-T/DOD-5 (EXP-),-120.5299,58.286799999999999
Doig River,2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-120.5379,56.605699999999999
Etthithun Lake,2021,6,30,British Columbia,ef1,145,C-T/DOD-5 (LB),-120.1791,57.779499999999999
Zama Lake (2),2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-119.6561,58.879300000000001
Zama Lake (1),2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-119.685,58.748600000000003
Basset Lake,2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-118.5002,58.470700000000001
Chateh (1),2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-118.5744,58.575800000000001
Chateh (2),2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-118.4199,58.559899999999999
Chateh (3),2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-118.1815,58.566499999999998
Habay (1),2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-118.4766,58.882700000000000
Habay (2),2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-118.4428,58.834800000000001
Habay (3),2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-118.4142,58.775300000000001
Hutch Lake (1),2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-117.9188,58.716299999999997
Hutch Lake (2),2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-117.9331,58.661700000000003
Meander River,2021,7,1,Alberta,ef1,145,C-T/DOD-5 (LB),-117.7919,59.022900000000000
Rivière-Rouge,2022,7,1,Quebec,ef1,145,C-T/DOD-5 (LB),-74.9566,46.310600000000001
Dog Lake (Thunder Bay),2022,6,23,Ontario,ef1,145,C-T/DOD-5 (LB),-89.3362,48.751500000000000
Tay River,2022,8,1,Alberta,ef1,145,C-T/DOD-5 (LB),-115.0556,52.056100000000001
Lac Ombon (Témiscamingue),2022,7,20,Quebec,ef1,145,C-T/DOD-5 (LB),-77.8634,47.092500000000001
Namekus Lake,2022,8,4,Saskatchewan,ef1,145,C-T/DOD-5 (LB),-106.1161,53.795299999999997
Vandorf,2022,5,21,Ontario,ef2,190,C-T/DOD-5 (EXP),-79.3267,44.019199999999998
O'Dell Lake,2022,7,17,Ontario,ef1,145,C-T/DOD-5 (LB),-94.5833,49.389200000000002
Naongashing,2022,7,17,Ontario,ef1,145,C-T/DOD-5 (LB),-94.4694,49.276899999999998
Lac des Lachances (Domaine-du-Roy),2022,6,16,Quebec,ef1,145,C-T/DOD-5 (LB),-72.6533,48.540599999999998
Peerless,2023,6,5,Saskatchewan,ef1,150,C-T/DOD-4 (EXP),-109.2494,54.350299999999997
Nipawin,2023,7,1,Saskatchewan,ef1,145,C-T/DOD-5 (LB),-104.2258,53.347499999999997
Lanoraie,2023,7,13,Quebec,ef1,150,C-T/DOD-4 (EXP),-73.2503,45.984499999999997
Tagish,2023,7,23,Yukon,ef1,145,C-T/DOD-5 (LB),-134.245,60.261000000000003
Pokiok Lake,2023,7,7,New Brunswick,ef1,145,C-T/DOD-5 (LB),-67.5404,46.845599999999997
Knox Lake,2023,7,26,Ontario,ef1,145,C-T/DOD-5 (LB),-94.4682,51.165700000000001
Carss Creek,2023,7,27,Ontario,ef1,145,C-T/DOD-5 (LB),-81.176,50.381300000000003
Lac-Connelly (Saint-Hippolyte),2024,7,24,Quebec,ef1,145,C-T/DOD-5 (LB),-73.9939,45.894599999999997
St. Lazare,2024,8,25,Manitoba,ef1,150,C-T/DOD-4 (EXP),-101.3606,50.400399999999998
Chute-Saint-Philippe,2025,7,24,Quebec,ef1,145,C-T/DOD-5 (LB),-75.2769,46.653100000000002
